RecordedDate,record_id,ra_name,event_description,sources_matrix_1_1,correct_date_1,sources_matrix_1_2,sources_matrix_2_1,correct_date_2,sources_matrix_2_2
Date Entry is recorded,Record ID,RA Name,Description of the event,Original date of first source,Correct for date of first source,URL of first source,Date of second source,Correct date of second source,URL of second source
3/31/20 14:50,5162310,Niklas Illenseer,"From March 31, 2020, at 11:30 pm, ""AÌ©roports de Paris is authorized to temporarily suspend the commercial operation of Paris-Orly airport"".",3/31/20,3/29/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041763285&fastPos=10&fastReqId=1309777692&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 15:15,8373124,Niklas Illenseer,"On March 23, 2020, France release redefinitions of the restrictions of the lockdown or curfew with the following exceptions:
""1å¡ Journeys between the domicile and the place or places of exercise of the professional activity and professional journeys which cannot be postponed;
2å¡ Travel to make purchases of supplies necessary for the professional activity and purchases of basic necessities in establishments whose activities remain authorized by article 8 of this decree;
3å¡ Travel for health reasons with the exception of consultations and care that can be provided remotely and, except for patients with a long-term condition, those who can be deferred;
4å¡ Travel for imperative family reasons, for the assistance of vulnerable people and for childcare;
5å¡ Brief trips, within the limit of one hour daily and within a maximum radius of one kilometer around the home, linked either to the individual physical activity of the people, to the exclusion of any collective sports practice and any proximity with other people, either on a walk with the only people gathered in the same home, or with the needs of pets;
6å¡ Travel resulting from an obligation to present to the national police or gendarmerie services or to any other service or professional, imposed by the administrative police authority or the judicial authority;
7å¡ Travel resulting from a summons from an administrative court or the judicial authority;
8å¡ Travel for the sole purpose of participating in missions of general interest at the request of the administrative authority and under the conditions it specifies.
Additionally, the new decree states that: ""People wishing to benefit from one of these exceptions must have a document with them when they travel outside their home to justify that the trip in question falls within the scope of one of these exceptions. The representative of the State in the department is empowered to adopt more restrictive measures in terms of journeys and movements of people when local circumstances require it.""",3/31/20,3/24/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&categorieLien=id,NA,,NA
3/31/20 15:24,5674748,Niklas Illenseer,"From March 31, 2020, France prohibited passenger ships entry into the country.",3/31/20,3/31/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041768187&fastPos=3&fastReqId=1309777692&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 15:30,5254735,Niklas Illenseer,"On March 23, 2020, in France President  Macron announced a state of health emergency for at least two months.",3/31/20,3/23/20,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=EFB0D56BFAEDFD5A1A11DF0193FD048B.tplgfr28s_1?idSectionTA=LEGISCTA000041746989&cidTexte=JORFTEXT000041746313&dateTexte=20200331,NA,,NA
3/31/20 15:49,4614807,Niklas Illenseer,"From March 16, 2020, President Macron announced that ""from Monday, on [16] and until further notice, all nurseries, schools, and universities will be closed"" in France until at least April 15, 2020.",3/31/20,3/12/20,https://www.nouvelobs.com/coronavirus-de-wuhan/20200312.OBS25971/coronavirus-macron-annonce-que-toutes-les-creches-ecoles-lycees-et-universites-seront-fermees-a-partir-de-lundi-jusqu-a-nouvel-ordre.html,NA,,NA
3/31/20 15:55,4202980,Niklas Illenseer,"On March 19, 2020, the original exceptions to the restrictions of the curfew were expanded to include
""Travel resulting from an obligation to present to the national police or gendarmerie services or to any other service or professional, imposed by the administrative police authority or the judicial authority; Travel resulting from a summons from an administrative court or the judicial authority; Travel for the sole purpose of participating in missions of general interest at the request of the administrative authority and under the conditions it specifies.""",3/31/20,3/20/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041737584&fastPos=32&fastReqId=1262037832&categorieLien=id&oldAction=rechTexte,NA,,NA
4/1/20 5:13,2703818,Niklas Illenseer,"On February 23, 2020, Olivier VÌ©ran, Minister of Solidarity and Health, launched the ORSAN REB plan to organize care in a health emergency to limit the spread and number of victims of the coronavirus.",4/1/20,2/23/20,https://www.francesst.com/futurformation/covid-19-declenchement-du-plan-orsan-reb,NA,,NA
4/1/20 5:23,1787925,Niklas Illenseer,"From March 17, 2020, President Macron announced that the Schengen area and European Union will close their borders for a minimum of 30 days.",4/1/20,3/16/20,https://france3-regions.francetvinfo.fr/hauts-de-france/coronavirus-emmanuel-macron-annonce-fermeture-frontieres-espace-schengen-1801340.html,NA,,NA
4/1/20 16:47,8195726,Niklas Illenseer,"On February 28, 2020, Austria announced the execution of its Epidemic Act and informed the respective heads of states about the future virus management.",2/28/20,2/28/20,https://www.sozialministerium.at/dam/jcr:dc6704c4-49f3-40e4-b038-9b5da8aa3067/Erlass_BMSGPK.pdf,NA,,NA
4/1/20 16:54,4488157,Niklas Illenseer,"From February 28, 2020, in Austria announces commercial enterprises are closed or their operation is restricted or enterprises in the event of an occurrence of SARS-CoV-2 infections within the enterprise.",2/28/20,2/28/20,https://www.sozialministerium.at/dam/jcr:e6520310-4686-43c0-98a0-a7302b11b15d/BGBLA_2020_II_74.pdf,NA,,NA
