location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Albania;2021-12;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-01;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-02;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-03;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-04;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-05;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-06;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-07;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-08;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-09;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-10;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-11;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2022-12;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2023-01;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2023-02;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2023-03;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2023-04;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2023-05;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-03;Restrictions of Mass Gatherings;0.71;3546819,6585636, 3546819,3672401,6585636, 1998057,2212974,3546819,3672401,6585636, 1998057,2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-04;Restrictions of Mass Gatherings;1;1998057,2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-05;Restrictions of Mass Gatherings;1;1998057,2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-06;Restrictions of Mass Gatherings;1;1998057,2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-07;Restrictions of Mass Gatherings;1;1998057,2212974,3546819,3672401,564301,6585636,8220728, 1998057,2212974,3546819,3672401,564301,6585636,8220728,9733403, 1539169,1998057,2212974,3546819,3672401,564301,6585636,8220728,9733403, 1539169,1998057,2212974,3672401,564301,6585636,8220728,9733403, 1539169,1998057,2200736,2212974,3672401,564301,6585636,8220728,9733403;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-08;Restrictions of Mass Gatherings;1;1539169,1998057,2200736,2212974,3672401,564301,6585636,8220728,9733403, 1539169,1562107,1998057,2200736,2212974,3672401,564301,5691766,6585636,8220728,9733403, 1539169,1562107,1998057,2200736,2212974,3672401,5691766,6585636,8220728,9733403, 1539169,1562107,1998057,2200736,2212974,3672401,5691766,6585636,8220728,9654572,9733403;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-09;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,3672401,5691766,8220728,9654572,9733403, 1539169,1562107,1998057,2200736,2212974,3672401,5691766,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,5691766,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,5691766,7496034,8220728,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-10;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,5691766,7496034,8220728,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-11;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,5691766,7496034,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,5691766,6589927,7496034,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,5691766,6589927,7496034,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,5691766,6589927,7496034,7971831,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4247625,5691766,6589927,7496034,7971831,8220728,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2020-12;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4247625,5691766,6589927,7496034,7971831,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4247625,514765,5691766,6343126,6589927,7496034,7971831,8220728,9576351,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4247625,514765,5691766,6343126,6589927,7496034,7971831,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,6589927,7496034,7971831,8220728,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-01;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,6589927,7496034,7971831,8220728,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-02;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,9654572,9733403,998932, 1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-03;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-04;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-05;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-06;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-07;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-08;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-09;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-10;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-11;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2021-12;Restrictions of Mass Gatherings;1;1539169,1562107,1998057,2200736,2212974,2734762,4165303,4247625,514765,5691766,6343126,7496034,7971831,8881201,9654572,9733403,998932;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-03;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-04;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-05;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-06;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-07;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-08;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-09;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-10;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-11;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2022-12;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2023-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2023-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2023-03;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2023-04;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Algeria;2023-05;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Andorra;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Andorra;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
